nome,hora,dia,source
CarlosBolsonaro,18:34,2018-08-19,Twitter for iPhone
CarlosBolsonaro,18:40,2018-08-19,Twitter for iPhone
CarlosBolsonaro,23:59,2018-08-19,Twitter for iPhone
CarlosBolsonaro,8:33,2018-08-20,Twitter for iPhone
CarlosBolsonaro,9:56,2018-08-20,Twitter for iPhone
CarlosBolsonaro,10:52,2018-08-20,Twitter for iPhone
CarlosBolsonaro,12:08,2018-08-20,Twitter for iPhone
CarlosBolsonaro,14:17,2018-08-20,Twitter for iPhone
CarlosBolsonaro,14:55,2018-08-20,Twitter for iPhone
CarlosBolsonaro,21:07,2018-08-20,Twitter for iPhone
CarlosBolsonaro,21:08,2018-08-20,Twitter for iPhone
CarlosBolsonaro,22:22,2018-08-20,Twitter for iPhone
CarlosBolsonaro,0:27,2018-08-21,Twitter for iPhone
CarlosBolsonaro,10:29,2018-08-21,Twitter for iPhone
CarlosBolsonaro,23:07,2018-08-21,Twitter for iPhone
CarlosBolsonaro,23:29,2018-08-21,Twitter for iPhone
CarlosBolsonaro,1:45,2018-08-22,Twitter for iPhone
CarlosBolsonaro,9:01,2018-08-22,Twitter for iPhone
CarlosBolsonaro,9:04,2018-08-22,Twitter for iPhone
CarlosBolsonaro,17:41,2018-08-22,Twitter for iPhone
CarlosBolsonaro,19:37,2018-08-22,Twitter for iPhone
CarlosBolsonaro,19:44,2018-08-22,Twitter for iPhone
CarlosBolsonaro,23:39,2018-08-22,Twitter for iPhone
CarlosBolsonaro,9:04,2018-08-23,Twitter for iPhone
CarlosBolsonaro,10:10,2018-08-23,Twitter for iPhone
CarlosBolsonaro,10:10,2018-08-23,Twitter for iPhone
CarlosBolsonaro,13:16,2018-08-23,Twitter for iPhone
CarlosBolsonaro,14:47,2018-08-23,Twitter for iPhone
CarlosBolsonaro,19:25,2018-08-23,Twitter for iPhone
CarlosBolsonaro,20:14,2018-08-23,Twitter for iPhone
CarlosBolsonaro,7:51,2018-08-24,Twitter for iPhone
CarlosBolsonaro,12:23,2018-08-24,Twitter for iPhone
CarlosBolsonaro,13:57,2018-08-24,Twitter for iPhone
CarlosBolsonaro,21:43,2018-08-24,Twitter for iPhone
CarlosBolsonaro,22:59,2018-08-24,Twitter for iPhone
CarlosBolsonaro,23:10,2018-08-24,Twitter for iPhone
CarlosBolsonaro,2:49,2018-08-25,Twitter for iPhone
CarlosBolsonaro,7:33,2018-08-25,Twitter for iPhone
CarlosBolsonaro,7:35,2018-08-25,Twitter for iPhone
CarlosBolsonaro,12:47,2018-08-25,Twitter for iPhone
CarlosBolsonaro,12:52,2018-08-25,Twitter for iPhone
CarlosBolsonaro,13:21,2018-08-25,Twitter for iPhone
CarlosBolsonaro,14:34,2018-08-25,Twitter for iPhone
CarlosBolsonaro,9:47,2018-08-26,Twitter for iPhone
CarlosBolsonaro,9:59,2018-08-26,Twitter for iPhone
CarlosBolsonaro,20:32,2018-08-26,Twitter for iPhone
CarlosBolsonaro,21:22,2018-08-26,Twitter for iPhone
jairbolsonaro,0:59,2018-12-12,Twitter for Android
CarlosBolsonaro,11:33,2018-08-27,Twitter for iPhone
CarlosBolsonaro,18:30,2018-08-27,Twitter for iPhone
CarlosBolsonaro,21:35,2018-08-27,Twitter for iPhone
CarlosBolsonaro,22:17,2018-08-27,Twitter for iPhone
CarlosBolsonaro,22:59,2018-08-27,Twitter for iPhone
CarlosBolsonaro,23:12,2018-08-27,Twitter for iPhone
CarlosBolsonaro,11:50,2018-08-28,Twitter for iPhone
CarlosBolsonaro,12:11,2018-08-28,Twitter for iPhone
CarlosBolsonaro,13:31,2018-08-28,Twitter for iPhone
CarlosBolsonaro,16:03,2018-08-28,Twitter for iPhone
CarlosBolsonaro,21:56,2018-08-28,Twitter for iPhone
CarlosBolsonaro,22:04,2018-08-28,Twitter for iPhone
CarlosBolsonaro,3:04,2018-08-29,Twitter for iPhone
CarlosBolsonaro,15:27,2018-08-29,Twitter for iPhone
CarlosBolsonaro,16:16,2018-08-29,Twitter for iPhone
CarlosBolsonaro,18:50,2018-08-29,Twitter for iPhone
CarlosBolsonaro,23:40,2018-08-29,Twitter for iPhone
CarlosBolsonaro,0:02,2018-08-30,Twitter for iPhone
CarlosBolsonaro,13:07,2018-08-30,Twitter for iPhone
CarlosBolsonaro,16:54,2018-08-30,Twitter for iPhone
CarlosBolsonaro,17:14,2018-08-30,Twitter for iPhone
CarlosBolsonaro,11:28,2018-08-31,Twitter for iPhone
CarlosBolsonaro,15:32,2018-08-31,Twitter for iPhone
CarlosBolsonaro,13:46,2018-09-01,Twitter for iPhone
CarlosBolsonaro,15:41,2018-09-01,Twitter for iPhone
CarlosBolsonaro,16:49,2018-09-01,Twitter for iPhone
CarlosBolsonaro,19:54,2018-09-01,Twitter for iPhone
CarlosBolsonaro,19:57,2018-09-01,Twitter for iPhone
CarlosBolsonaro,20:20,2018-09-01,Twitter for iPhone
CarlosBolsonaro,22:58,2018-09-01,Twitter for iPhone
CarlosBolsonaro,23:12,2018-09-01,Twitter for iPhone
CarlosBolsonaro,23:17,2018-09-01,Twitter for iPhone
CarlosBolsonaro,13:19,2018-09-02,Twitter for iPhone
CarlosBolsonaro,14:05,2018-09-02,Twitter for iPhone
CarlosBolsonaro,14:19,2018-09-02,Twitter for iPhone
CarlosBolsonaro,15:31,2018-09-02,Twitter for iPhone
CarlosBolsonaro,15:54,2018-09-02,Twitter for iPhone
CarlosBolsonaro,19:30,2018-09-02,Twitter for iPhone
CarlosBolsonaro,10:40,2018-09-03,Twitter for iPhone
CarlosBolsonaro,12:18,2018-09-03,Twitter for iPhone
CarlosBolsonaro,13:16,2018-09-03,Twitter for iPhone
CarlosBolsonaro,16:23,2018-09-03,Twitter for iPhone
CarlosBolsonaro,20:40,2018-09-03,Twitter for iPhone
